Respondent ID,Tell us about your classroom,Latitude,Longitude,Buildings Name
72mms8jgy4m8,Only nice ones.,34.728016,-86.641432,Business Administration Building
9loh4raz7ss6,"They generally have a lot of natural light, and are fairly spacious. In the BAB, some of the seating is in a U shape, but too close together which is annoying when trying to squeeze by.",34.728103,-86.641294,Business Administration Building
9ax92afh7tv9,My favorite classrooms are some of the ones in Morton and the BAB that have chargers in the tables. This makes it really easy for students to charge their devices during class. I think all classrooms need these.,34.728106,-86.641217,Business Administration Building
8tu6vb2xkm78,This is where I typically have class,34.728136,-86.641451,Business Administration Building
2ge46nsk6vh7,The classrooms are clean and I like the set up.,34.728144,-86.64146,Business Administration Building
7lc2g7ufg7v7,These are the buildings of which I spend the most time since they are associated in my major and both are newer and I prefer the environment in both of these buildings.,34.728161,-86.641407,Business Administration Building
93yn3wdo6uu9,"Lot more open areas, windows, natural light. I don't feel blocked in.",34.728175,-86.641329,Business Administration Building
4z4tow4dhf64,"My favorite classrooms are well-lit, have proper amenities for the professors to teach.",34.728184,-86.641446,Business Administration Building
2at7tni67va3,I like the stadium seating,34.728198,-86.641385,Business Administration Building
9vw4svn6z27w,These classrooms have the most space IÂ’ve experienced,34.728198,-86.641254,Business Administration Building
7tn4vpe49pt7,The classrooms are setup to encourage collaboration while also providing adequate space and tech options to each student (I.e. outlets).,34.728213,-86.641535,Business Administration Building
79sp8tpf7pj6,They are the nicest,34.728213,-86.641407,Business Administration Building
2ib6eej2vjy7,It has the stacked auditorium.,34.728216,-86.641387,Business Administration Building
8h4oyn3toh8a,The tiers make it easy to see the board from anywhere in the room.,34.728221,-86.641373,Business Administration Building
84w22j3gxd89,"I like the general new, an updated vibe of the college of business second floor, collaborative classrooms.",34.728244,-86.641441,Business Administration Building
34ecp4b9ufp4,BAB because it is my home college and I get to learn about events going on.,34.728244,-86.641423,Business Administration Building
7e6usv4mlg26,"Clean, new",34.728244,-86.641423,Business Administration Building
6nj2f6wy6mt4,I like having classrooms with windows and a view of nature.,34.728252,-86.641404,Business Administration Building
88woc3nmz8o9,Newly renovated and collaborative classrooms,34.728254,-86.641463,Business Administration Building
4xxo6vkx79k6,"New, bright, and comfortablw",34.728262,-86.641404,Business Administration Building
34dvh9iwg6y9,The quietness of these study rooms and classrooms. I also enjoy the view of the outside of some of the buildings.,34.728267,-86.641404,Business Administration Building
7ke8abm2irx2,Modern seating and fairly comfortable.,34.728277,-86.641491,Business Administration Building
2se8kbc2naz9,Style,34.728282,-86.641537,Business Administration Building
6v2lne3vv8f3,outlets built into the desks,34.728298,-86.641361,Business Administration Building
4c6ksi7jzd44,"Good technology, good view, appealing, relatively modern",34.728302,-86.641437,Business Administration Building
9py7kpa8jtw4,Generally nice but would perfer nicer labs,34.728308,-86.641522,Business Administration Building
8orl4ope83w7,The classrooms are smaller and more approachable. Also many of the classrooms have outlets.,34.728328,-86.641497,Business Administration Building
7nl8rdc9s2n3,The class rooms in the business building were awesome because of the huge glass windows,34.728339,-86.641619,Business Administration Building
6s6t7og4hz67,"The equipment in these buildings (i.e chairs, tables, etc.) is very nice. The atmosphere is less depressing.",34.728374,-86.641609,Business Administration Building
9oc9pi76os79,They are in my college building and I like that building the most!,34.728444,-86.641535,Business Administration Building
3ta3nbu7ely6,They have tables! Not dinky desks or movie theater seats or poorly designed modern swivel chairs that you can fall out of.,34.728514,-86.64148,Business Administration Building
247vwx29rrs4,The construction and also the path to the building from the parking lot is dark at night.,34.728021,-86.641217,Business Administration Building
9ag8p2hm9kua,Some of the classrooms felt rather outdated,34.728043,-86.641318,Business Administration Building
9ax92afh7tv9,Some of my least favorite classrooms are in the BAB that do not have many outlets to charge.,34.728142,-86.641274,Business Administration Building
9j6fyx48pzu6,"The building is dated and covered in cobwebs outside, the stairways are steep.",34.728148,-86.641481,Business Administration Building
7fx2u8doa2d9,The BAB and the MSB are old and cold. Dreary as well,34.728163,-86.641431,Business Administration Building
